,muon_eta,muon_id,muon_iso,muon_phi,muon_pt,passes_trigger
121,-2.1865892,0.0,65.81778,-3.0132468,1.4786842,0
122,0.13931192,0.0,152.47371,1.2992495,6.270935,0
123,-0.7769807,0.0,0.0,-0.09112968,6.691881,0
124,-1.9823418,0.0,0.5395393,1.5922301,0.8416905,0
125,-2.0025504,0.0,0.0,1.7749038,0.7400777,0
126,2.0933738,0.0,1.6641355,-0.11595743,1.1878294,0
127,-0.48173565,0.0,0.48877853,2.458593,5.770761,0
128,1.8038934,0.0,0.0,-1.6936222,1.1795633,0
129,-0.741014,1.0,17.44655,0.55677974,13.627918,0
130,2.0957963,0.0,0.91471744,-2.9705257,1.9231097,0
131,-0.7777551,1.0,9.490161,2.1751611,10.840238,0
132,1.5746329,0.0,84.76078,-2.94131,6.06124,0
133,1.4342405,1.0,73.299286,1.6753565,11.720202,0
134,0.22492835,0.0,47.49007,1.177273,5.113337,0
135,-1.3611447,0.0,0.0,-2.980248,4.387834,0
136,2.344912,0.0,1.2386441,-2.3970342,1.7825459,0
137,-2.004556,0.0,1.4924288,-2.1884756,1.0981915,0
138,1.3258252,0.0,25.899723,2.640357,14.828944,0
139,1.5446991,0.0,0.0,-2.7057164,1.4293433,0
140,1.7630146,0.0,0.0,1.6647613,2.4045959,0
141,1.0039858,0.0,0.6589242,1.1282704,5.0236144,0
142,1.9052267,0.0,2.1363263,2.720107,1.5021695,0
143,0.472854,1.0,1.5585095,0.3352625,57.415005,1
144,-0.3246356,0.0,352.4555,-0.50257474,12.936375,0
145,1.4713486,1.0,0.0,1.7710971,54.62028,1
146,-1.9092629,0.0,0.0,-1.0113459,1.1387722,0
147,-0.10087796,1.0,211.84042,2.4623632,9.266309,0
148,-1.7377509,0.0,28.412228,1.6317353,11.111549,0
149,-0.015950147,0.0,0.76186496,-2.418123,3.414825,0
150,-2.342921,0.0,0.0,-2.7456553,1.7644159,0
151,-1.4430708,0.0,27.30976,-0.73861915,1.4421004,0
152,-0.104685724,0.0,67.612755,0.26378977,65.99079,0
153,-0.56732756,0.0,73.01969,0.046217605,32.456367,0
154,1.0392017,0.0,1.2092047,2.0231447,389.453,0
155,-0.48839438,0.0,105.74137,-0.3714924,4.6980357,0
156,-0.7182077,1.0,109.67486,2.905516,27.86474,0
157,-0.8097128,0.0,87.66823,0.98403,34.32798,0
158,0.5126376,0.0,35.162613,2.3356607,24.430548,0
159,1.6864624,0.0,0.0,3.094221,1.1790333,0
160,0.6084715,0.0,1.799417,-1.3393346,16.453894,0
161,1.4105957,1.0,41.243774,0.9677128,25.810745,0
162,2.0147274,0.0,0.0,-0.55969507,2.5355208,0
163,-1.6806748,1.0,4.591508,-1.7689899,27.873293,0
164,2.0760431,0.0,0.65026426,-1.7243344,2.5230489,0
165,1.2175304,0.0,67.44857,-2.8651264,7.7320685,0
166,1.3801885,1.0,52.832832,2.6261878,19.708149,0
167,-1.50325,0.0,0.0,1.8613323,1.2814184,0
168,-2.4872358,0.0,1.6236594,-1.4493831,6.600324,0
169,0.8077133,0.0,0.77879906,1.492008,4.2161036,0
170,-1.3747065,1.0,46.63964,-2.848042,20.932764,0
171,1.8920029,0.0,0.20688859,-2.4392192,1.3031706,0
172,1.3612149,0.0,0.13497901,-2.1305234,0.9426,0
173,1.6350439,0.0,0.65879923,-0.9204678,1.5474957,0
174,-0.23581506,0.0,49.917595,0.914672,8.203467,0
175,-0.12962568,1.0,12.540173,-1.5752585,4.782465,0
176,-2.087589,0.0,0.0,-1.3194495,0.6967949,0
177,-0.5522924,1.0,10.771788,-1.0911239,8.676259,0
178,1.8982065,0.0,1.352863,-2.8397644,0.9896298,0
179,-1.5148361,0.0,0.9754509,-1.5602582,1.3156844,0
180,-0.9251605,1.0,0.0,-3.1005147,79.70358,1
181,-1.953009,0.0,0.0,-1.2893338,2.406296,0
182,1.8102515,0.0,0.0,-0.32535985,1.0629011,0
183,-0.2101844,1.0,22.098122,-2.5466523,28.066929,0
184,2.3572013,0.0,0.0,2.4228282,1.0201585,0
185,4.8109393,0.0,0.0,0.25480324,1.9198843,0
186,0.33309522,1.0,0.0,-1.6042507,64.33094,1
187,-2.2436807,0.0,3.0932338,1.9475126,1.8609697,0
188,-0.5251812,1.0,38.300133,1.7244848,9.361312,0
189,-1.4258496,0.0,0.5021842,-0.87346196,1.492277,0
190,0.30727503,1.0,119.73103,0.90003633,13.546137,0
191,-1.684363,0.0,2.0169537,3.105575,6.6674857,0
192,2.1641579,0.0,0.9930804,-1.6850681,0.7531181,0
193,1.2103906,1.0,17.95886,-2.4459982,6.4935207,0
194,1.610533,0.0,1.2162429,3.05438,1.3582486,0
195,1.9099466,0.0,50.74585,0.75700635,5.42361,0
196,2.383248,0.0,1.2680672,-2.9618258,2.1435566,0
197,0.48476824,0.0,2.98385,1.7738467,5.7239275,0
198,1.2554312,0.0,4.383522,1.3769062,2.1098497,0
199,0.623287,0.0,2.022654,1.0244504,8.026866,0
200,2.1754882,0.0,0.0,-2.449157,1.075586,0
201,-0.49165925,1.0,62.966316,0.9476915,43.22646,0
202,1.3240418,0.0,0.639554,1.8388102,1.7977377,0
203,-1.3989671,1.0,0.0,3.043685,61.14132,1
204,-0.8631665,0.0,135.86197,1.7719527,6.678903,0
205,0.56482387,1.0,46.29258,-0.22509456,67.72474,0
206,2.1073053,1.0,0.0,-1.8676164,1.4565777,0
207,-1.3048645,0.0,0.3242442,-0.75476336,1.5709051,0
